path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,doc_class,candidate_action,reason
docs/hrx-enterprise/p01-boundary-plan.md,tracked,.md,2352,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p02-governance-plan.md,tracked,.md,2291,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p03-runtime-core-a-plan.md,tracked,.md,2172,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p04-runtime-core-b-plan.md,tracked,.md,2484,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p05-trust-boundary-a-plan.md,tracked,.md,2063,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p06-trust-boundary-b-plan.md,tracked,.md,1821,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p07-core-hris-a-plan.md,tracked,.md,1937,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p08-core-hris-b-plan.md,tracked,.md,1829,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p09-workflow-a-plan.md,tracked,.md,2296,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p10-workflow-b-plan.md,tracked,.md,1905,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p11-workflow-c-plan.md,tracked,.md,1911,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p12-portal-api-a-plan.md,tracked,.md,1734,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p13-portal-api-b-plan.md,tracked,.md,2073,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p14-ai-analytics-a-plan.md,tracked,.md,2048,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p15-ai-analytics-b-plan.md,tracked,.md,2289,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
